Ticker,DateKey,month_end_close,monthly_high,monthly_low,total_volume,monthly_return
ABT,201508,45.29,51.17,42.3032,148134359,-10.652988755178534
ABT,201509,40.22,45.15,39.0,160514004,-11.194524177522633
ABT,201510,44.8,45.34,39.28,173992535,11.387369467926401
ABT,201511,44.92,46.38,43.45,109831113,0.267857142857153
ABT,201512,44.91,46.22,43.565,120192575,-0.02226179875335066
ABT,201601,37.85,44.05,36.0,178808594,-15.720329547984848
ABT,201602,38.74,39.88,36.02,148836092,2.351387054161164
ABT,201603,41.83,42.0,38.09,146244098,7.97625193598347
ABT,201604,38.9,44.58,38.58,180307265,-7.004542194597178
ABT,201605,39.63,39.67,36.89,251980865,1.8766066838046376
ABT,201606,39.31,39.64,36.76,224956357,-0.8074690890739346
ABT,201607,44.75,45.16,39.16,219211525,13.838717883490201
ABT,201608,42.02,45.79,41.93,227351788,-6.10055865921787
ABT,201609,42.29,42.53,40.48,161481133,0.6425511661113661
ABT,201610,39.24,43.78,39.22,187784564,-7.212106881059345
ABT,201611,38.07,41.53,37.81,180434876,-2.981651376146793
ABT,201612,38.41,39.79,37.38,178429130,0.8930916732335075
ABT,201701,41.77,41.79,38.34,211271813,8.747721947409547
ABT,201702,45.08,45.68,41.44,165452156,7.924347617907578
ABT,201703,44.41,45.84,44.26,148917233,-1.4862466725820802
ABT,201704,43.64,44.61,42.31,135570319,-1.733843728889881
ABT,201705,45.66,45.75,42.88,132887398,4.62878093492208
ABT,201706,48.61,49.59,45.47,160419566,6.460797196671053
ABT,201707,49.18,51.13,47.83,114459104,1.1725982308167051
ABT,201708,50.94,51.05,48.05,99870473,3.5786905246034935
ABT,201709,53.36,54.8,50.64,125180692,4.750687082842563
ABT,201710,54.23,56.685,53.195,123636667,1.6304347826086907
ABT,201711,56.37,56.52,53.6101,110108918,3.9461552646136835
ABT,201712,57.07,57.765,54.32,128811376,1.2417952811779365
ABT,201801,62.16,64.6,57.817,156005479,8.918871561240575
